[2026-05-29 22:58:02,299] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:58:20,234] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:58:20,241] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:58:20,241] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:58:20,242] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:58:44,111] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:58:44,247] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:58:44,247] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:58:44,248] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:03:59,471] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:03:59,594] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:03:59,594] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:03:59,595] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:13,866] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:13,877] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:13,878] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:13,879] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:21,647] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:21,766] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:21,766] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:21,767] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:42,472] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:42,596] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:42,597] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:42,597] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:08:18,179] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:08:18,324] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:08:18,324] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:08:18,325] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:43,936] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:12:44,069] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:12:44,069] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:44,070] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,001] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,006] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,076] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,078] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,898] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,903] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,971] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,973] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:52,568] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:52,572] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:52,645] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:52,647] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:53,431] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:53,439] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:53,508] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:53,509] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:18:14,386] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:18:14,513] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:18:14,513] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:18:14,514] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:18:47,656] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:18:47,657] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:21:45,186] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:21:45,310] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:21:45,311] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:21:45,312] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:21:51,015] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:21:51,016] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:21:52,953] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:21:52,954] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:21:54,049] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:21:54,050] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:21:54,763] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:21:54,764] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:24:38,662] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:24:38,783] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:24:38,784] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:24:38,784] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:35:37,200] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:35:37,324] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:35:37,324] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:35:37,325] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:36:44,730] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:36:44,861] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:36:44,861] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:36:44,863] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:36:50,003] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:36:50,005] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:37:42,734] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:37:42,858] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:37:42,858] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:37:42,859] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:38:59,438] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:38:59,573] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:38:59,574] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:38:59,576] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:05,798] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:39:05,801] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:39:07,175] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
